time,P(Max){W.m-3},P(total){W},Q_surf,T(Max){K},T_avg,ThermoC_1,ThermoC_10,ThermoC_2,ThermoC_3,ThermoC_4,ThermoC_5,ThermoC_6,ThermoC_7,ThermoC_8,ThermoC_9
0,0,0,0,0,423.15,0,0,0,0,0,0,0,0,0,0
1,111343676.42695,120.86948965074,95.673769961419,539.33548639473,454.06563872477,494.18355475396,435.94393881236,444.64164043862,471.21435630117,438.29107641261,430.2652541199,473.26422661053,489.64668537092,433.50033114483,456.76850262922
