x,y,z,T
0.0115,-0.02425,0.0195,699.0707643976543
0.0115,-0.02475,0.0011843741,449.77155495715095
0.0064547868,-0.02475,0.012183022,593.216465259269
0.0115,0.02475,0.002833414,482.4835900612342
-0.009953875,0.02475,-0.004465947,443.1593246861759
-0.005529526,0.02475,0.017415017,856.0369925704182
-0.0115,-0.0007385863,0.016208278,779.785790118258
-0.0115,-0.004125,-0.0075877975,442.37229080014816
-0.0115,-0.004206353,0.008019387,565.9346968937268
-0.0115,0.012584655,-0.0034863688,447.2715311112698
