time,P(Max){W.m-3},P(total){W},Q_surf,T(Max){K},T_avg,ThermoC_1,ThermoC_10,ThermoC_2,ThermoC_3,ThermoC_4,ThermoC_5,ThermoC_6,ThermoC_7,ThermoC_8,ThermoC_9
0,0,0,0,0,423.15,0,0,0,0,0,0,0,0,0,0
1,2289736463.4816,791.28367655657,629.01667334176,1104.2968104673,423.15,753.67941481011,423.15,423.15,676.86149215263,517.97426850225,453.78297700894,973.35486349197,423.15,423.15,423.15
