time,P(Max){W.m-3},P(total){W},Q_surf,T(Max){K},T_avg,ThermoC_1,ThermoC_10,ThermoC_2,ThermoC_3,ThermoC_4,ThermoC_5,ThermoC_6,ThermoC_7,ThermoC_8,ThermoC_9
0,0,0,0,0,423.15,0,0,0,0,0,0,0,0,0,0
1,1919394039.9103,498.65041844223,404.3575137424,1032.5524547362,423.15,692.33534892973,423.15,423.15,618.56893103238,492.70247342482,445.5325089319,894.27585552861,423.15,423.15,423.15
