time,P(Max){W.m-3},P(total){W},Q_surf,T(Max){K},T_avg,ThermoC_1,ThermoC_10,ThermoC_2,ThermoC_3,ThermoC_4,ThermoC_5,ThermoC_6,ThermoC_7,ThermoC_8,ThermoC_9
0,0,0,0,0,423.15,0,0,0,0,0,0,0,0,0,0
1,2289736608.1881,791.28371373202,629.01670220266,1104.2968451708,423.15,753.67942709846,423.15,423.15,676.86150175525,517.9742743523,453.78297856987,973.35488431935,423.15,423.15,423.15
